,company,facebook,twitter,instagram,pinterest
0,Apple,14.031.481 persone seguono questa Pagina,"8,8 Mln",28.9M follower,-
1,Amazon,5.017.069 persone seguono questa Pagina,5 Mln,3.8M follower,"712,6mila follower"
2,China Construction Bank,-,-,-,-
3,Agricultural Bank of China,-,-,-,-
4,ICBC,15.811 persone seguono questa Pagina,22.516,"3,868 follower",-
5,Aramco,8.276.544 persone seguono questa Pagina,995.213,315K follower,16 follower
6,Berkshire Hathaway,104.378 persone seguono questa Pagina,"1,6 Mln","3,448 follower",-
7,JPMorgan,96.476 persone seguono questa Pagina,698.976,320K follower,-
8,Bank of America,2.762.915 persone seguono questa Pagina,947.495,-,"10,2mila follower"
9,Toyota Motor,780.558 persone seguono questa Pagina,53.220,5M follower,-
10,Alphabet,33.434 persone seguono questa Pagina,573,-,-
11,Bank of America,2.762.916 persone seguono questa Pagina,947.495,239K follower,"10,2mila follower"
12,Toyota Motor,780.558 persone seguono questa Pagina,53.220,5M follower,-
13,Alphabet,33.434 persone seguono questa Pagina,573,337 follower,-
14,Bank of America,2.762.915 persone seguono questa Pagina,947.495,239K follower,"10,2mila follower"
15,Toyota Motor,780.558 persone seguono questa Pagina,53.220,5M follower,-
16,Alphabet,33.434 persone seguono questa Pagina,573,337 follower,-
17,Microsoft,13.001.662 persone seguono questa Pagina,12 Mln,4M follower,-
18,Bank of China,-,3.132,240 follower,-
19,Samsung Group,-,253.162,873K follower,0 follower
20,ExxonMobil,3.072.075 persone seguono questa Pagina,335.922,108K follower,-
21,Shell,9.718.381 persone seguono questa Pagina,571.176,416K follower,-
22,Ping An Insurance Group,-,1.601,599 follower,-
23,Wells Fargo,1.158.525 persone seguono questa Pagina,344.787,123K follower,"7,1mila follower"
24,Verizon Communications,6.780.411 persone seguono questa Pagina,"1,6 Mln",249K follower,"26,4mila follower"
25,AT&T,-,-,-,-
26,PetroChina,-,235,"7,520 follower",-
27,UnitedHealth Group,-,39.308,"7,343 follower",-
28,Walmart,32.541.521 persone seguono questa Pagina,"1,3 Mln",2.9M follower,"1,9Mln follower"
29,China Merchants Bank,-,-,-,-
30,Volkswagen Group,-,161.219,9.8M follower,-
31,Chevron,1.199.939 persone seguono questa Pagina,383.398,67.9K follower,-
32,Citigroup,1.209.295 persone seguono questa Pagina,-,112K follower,135 follower
33,Tencent Holdings,-,41.911,"4,156 follower",-
34,Total,10.250.032 persone seguono questa Pagina,649,113K follower,-
35,Postal Savings Bank Of China (PSBC),-,-,-,-
36,China Mobile,457.442 persone seguono questa Pagina,11.104,22.5K follower,-
37,Comcast,120.444 persone seguono questa Pagina,181.910,28.1K follower,"6,3mila follower"
38,Alibaba Group,621.171 persone seguono questa Pagina,235.889,122K follower,-
39,Meta Platforms,-,"13,9 Mln",-,-
40,Allianz,17.988 persone seguono questa Pagina,52.063,104K follower,270 follower
41,Morgan Stanley,120.273 persone seguono questa Pagina,669.974,301K follower,-
42,Goldman Sachs Group,298.229 persone seguono questa Pagina,970.226,219K follower,-
43,HSBC Holdings,3.042.374 persone seguono questa Pagina,198.281,52.1K follower,-
44,BNP Paribas,239.838 persone seguono questa Pagina,5.718,31.8K follower,-
45,Johnson & Johnson,-,-,-,-
46,Mercedes-Benz Group,-,"3,9 Mln",36.3M follower,-
47,CVS Health,23.817 persone seguono questa Pagina,67.178,14.5K follower,5 follower
48,Softbank,1.371.164 persone seguono questa Pagina,675.715,42.1K follower,-
49,Sinopec,3.134.575 persone seguono questa Pagina,184.116,"1,157 follower",-
50,RBC,592.898 persone seguono questa Pagina,108.296,64.5K follower,-
51,Nestlé,11.669.320 persone seguono questa Pagina,-,17.6K follower,"8,4mila follower"
52,AXA Group,83.100 persone seguono questa Pagina,8.332,"4,815 follower",-
53,Gazprom,-,69.336,-,-
54,BP,-,112.412,108K follower,-
55,Intel,36.624.684 persone seguono questa Pagina,"4,9 Mln",1.7M follower,"17,8mila follower"
56,TD Bank Group,841.995 persone seguono questa Pagina,56.914,52.5K follower,"1,2mila follower"
57,Nippon Telegraph & Tel,-,-,-,-
58,Reliance Industries,2.333.387 persone seguono questa Pagina,4.497,"4,088 follower",-
59,Industrial Bank,-,2.153,"4,706 follower",-
60,Sony,347.504 persone seguono questa Pagina,"5,6 Mln",859K follower,"54,7mila follower"
61,Santander,-,94.200,"2,269 follower",-
62,Mitsubishi UFJ Financial,-,1.841,-,-
63,Taiwan Semiconductor,-,3.042,-,-
64,Ford Motor,17.426.246 persone seguono questa Pagina,"1,4 Mln",5.6M follower,336 follower
65,LVMH Moët Hennessy Louis Vuitton,321.611 persone seguono questa Pagina,190.620,986K follower,-
66,Bank of Communications,-,-,-,-
67,Procter & Gamble,-,-,-,-
68,BMW Group,301.632 persone seguono questa Pagina,644.514,129K follower,-
69,Petrobras,-,506.161,189K follower,-
70,Deutsche Telekom,128.041 persone seguono questa Pagina,82.718,51.1K follower,35 follower
71,AbbVie,31.983 persone seguono questa Pagina,77.730,"4,905 follower",3 follower
72,Novartis,425.272 persone seguono questa Pagina,10.550,112K follower,2 follower
73,General Motors,833.044 persone seguono questa Pagina,799.535,538K follower,-
74,Equinor,-,19.626,58.9K follower,-
75,China Life Insurance,-,54,409 follower,-
76,Roche Holding,7148 persone seguono questa Pagina,246.619,56.9K follower,-
