,rank,name,in 2021 ranking,in 2020 ranking,country,sector,absolute growth rate %,compound annual growth rate (cagr) %,revenue 2020 (€),revenue 2017 (€),number of employees 2020,number of employees 2017,founding year
0,1,Swappie,No,No,Finland,Technology,"19,152.82",477.43,"97,611,814","507,000",218.0,1,2016
1,2,Kilo Health,No,No,Lithuania,Health,"16,541.73",450.05,"57,318,766","344,428",177.0,10,2013
2,3,OCI,No,No,UK,Financial Services,"13,133.13",409.59,"568,322,073","4,325,512",32.0,4,2012
3,4,OnlyFans,No,No,UK,Technology,"11,928.05",393.63,"316,732,986","2,652,185",800.0,4,2016
4,5,Enpal,No,No,Germany,Energy,"11,441.27",386.88,"56,109,613","486,165",365.0,9,2017
5,6,MR Consulting,No,No,Germany,Waste management & recycling,"8,624.23",343.52,"13,165,586","150,908",9.0,2,2017
6,7,Thriva,No,No,UK,Health,"7,396.77",321.66,"18,732,563","251,668",57.0,12,2015
7,8,Exotec,No,No,France,Industrial Goods,"6,635.11",306.86,"47,597,000","706,700",200.0,15,2015
8,9,Winelivery,No,No,Italy,Ecommerce,"6,480.53",303.73,"7,337,290","111,500",10.0,1,2015
9,10,Instabox,No,No,Sweden,Technology,"6,287.13",299.73,"24,484,879","392,055",117.0,5,2015
10,11,Waterdrop,No,No,Austria,Food & Beverage,"5,957.94",292.74,"41,205,930","680,197",180.0,12,2016
11,12,One Lease,No,No,France,Support Services,"5,790.52",289.09,"9,015,211","153,046",11.0,2,2016
12,13,Datlas*,No,No,Italy,Technology,"5,713.76",287.39,"9,034,926","155,406",251.0,13,2017
13,14,Zego,No,No,UK,Fintech,"5,242.60",276.63,"12,158,046","229,201",224.0,36,2016
14,15,HCL-Logistics,No,No,Germany,Transport,"4,682.15",262.97,"11,387,156","238,118",24.0,5,2017
15,16,Popsa,No,No,UK,Technology,"4,649.68",262.15,"21,455,864","454,975",34.0,4,2016
16,17,Unit8,No,No,Switzerland,Technology,"4,377.53",255.1,"7,234,981","149,397",41.0,2,2017
17,18,Luoto Company,No,No,Finland,Technology,"4,303.97",253.14,"14,338,668","325,585",49.0,6,2016
18,19,Journi Print,No,No,Austria,Ecommerce,"4,165.75",249.41,"6,851,839","160,624",29.0,9,2014
19,20,Portify,No,No,France,Support Services,"4,118.60",248.11,"11,583,215","274,575",228.0,23,2017
20,21,Tibber,No,No,Norway,Energy,"4,104.02",247.71,"30,886,935","782,918",45.0,8,2015
21,22,Rascal Industry,No,No,Poland,Fashion,"4,029.49",245.65,"9,008,822","238,451",18.0,6,2013
22,23,Pegaso Security,No,No,Italy,Support Services,"3,943.64",243.23,"8,375,180","207,120",509.0,20,2017
23,24,Tide,No,No,UK,Fintech,"3,801.56",239.17,"16,136,633","416,562",581.0,72,2016
24,25,Euro Top Brand,No,No,Italy,Retail,"3,726.04",236.96,"13,888,900","363,010",1.0,1,2017
25,26,Bold Security Group,No,No,UK,Support Services,"3,356.60",225.75,"6,238,378","181,772",26.0,6,2011
26,27,Play Magnus Group,No,No,Norway,Games industry,"2,967.63",213.04,"6,461,790","214,673",140.0,10,2013
27,28,Blue Whale Growth Fund,No,No,UK,Financial Services,"2,957.41",212.69,"5,189,391","170,950",7.0,1,2016
28,29,Kazidomi,No,No,Belgium,Ecommerce,"2,950.29",212.45,"8,042,499","263,663",65.0,3,2016
29,30,Sun Finance,Yes,No,Latvia,Fintech,"2,899.26",210.7,"121,306,296","4,044,537",800.0,90,2012
30,31,Credimi,No,No,Italy,Financial Services,"2,859.83",209.33,"11,301,520","381,830",56.0,21,2015
31,32,SIRPLUS,No,No,Germany,Retail,"2,828.22",208.23,"4,540,000","155,043",133.0,8,2017
32,33,AIHR | Academy to Innovate HR,No,No,The Netherlands,Education,"2,752.08",205.53,"3,584,553","125,682",31.0,6,2016
33,34,Logistics Capital Partners (LCP),No,No,Luxembourg,Property,"2,744.13",205.25,"210,563,743","7,403,458",27.0,9,2015
34,35,Südwest Invest,No,No,Germany,Property,"2,660.84",202.24,"5,820,402","210,820",10.0,2,2017
35,36,CORADE (Plurimmo),No,No,France,Property,"2,646.07",201.7,"56,018,731","2,039,961",7.0,7,2000
36,37,Carranco,No,No,Spain,Food & Beverage,"2,589.10",199.6,"4,176,440","155,310",5.0,4,2006
37,38,Telemedi,No,No,Poland,Health,"2,572.52",198.98,"4,452,513","182,100",50.0,10,2014
38,39,Inkitt,No,No,Germany,Technology,"2,480.16",195.49,"5,926,970","229,713",56.0,22,2014
39,40,H.K.Trading,No,No,Italy,Retail,"2,438.64",193.9,"5,721,590","225,380",2.0,1,2016
40,41,Attest,No,No,UK,Technology,"2,424.14",193.34,"4,864,178","194,090",124.0,16,2015
41,42,LGM IMMOBILIER,No,No,France,Property,"2,416.78",193.05,"2,549,778","101,311",11.0,na,2016
42,43,Wolfram Chain*,No,No,The Netherlands,Management Consulting,"2,314.21",189.02,"2,431,371","100,711",29.0,7,2017
43,44,RightNow,No,No,Germany,Technology,"2,256.98",186.72,"8,951,132","379,771",38.0,3,2017
44,45,EO Charging,Yes,No,UK,Technology,"2,182.00",183.64,"17,158,962","757,323",63.0,7,2014
45,46,CheTariffa.it,No,No,Italy,Support Services,"2,164.85",182.93,"2,495,860","110,200",9.0,2,2013
46,47,Simply,No,No,UK,Financial Services,"2,131.19",181.52,"16,483,836","744,092",90.0,26,2017
47,48,Salary Finance,No,No,UK,Fintech,"2,130.67",181.5,"8,593,220","387,995",187.0,24,2015
48,49,DBT,No,No,Sweden,Fintech,"2,090.34",179.79,"3,837,994","179,204",10.0,2,2017
49,50,Tutlo,No,No,Poland,Education,"2,087.98",179.69,"7,778,203","388,565",140.0,15,2016
50,51,Ponera,No,No,France,Ecommerce,"2,082.38",179.45,"25,901,607","1,186,853",27.0,4,2013
51,52,Active Energy Solutions,No,No,Greece,Energy,"1,979.82",175.01,"13,312,033","640,056",2.0,0,2014
52,53,ACTEAM ENR,No,No,France,Energy,"1,966.73",174.43,"2,133,691","103,240",8.0,2,2012
53,54,Everflow,Yes,No,UK,Technology,"1,928.53",172.73,"64,223,085","3,188,715",70.0,8,2015
54,55,Azure Prism,No,No,UK,Retail,"1,909.48",171.87,"4,752,777","238,216",1.0,1,2016
55,56,WR Logistics,No,No,Germany,Transport,"1,892.58",171.11,"11,662,200","585,280",7.0,2,2017
56,57,iProov,No,No,UK,Technology,"1,889.07",170.95,"7,435,887","376,519",61.0,14,2011
57,58,Spin Up,No,No,Italy,Advertising,"1,865.84",169.89,"4,009,330","203,950",5.0,1,2017
58,59,BeGreat,No,No,Germany,Retail,"1,803.65",167.01,"5,141,555","270,090",16.0,4,2012
59,60,Tsunami Nutrition*,No,No,Italy,Ecommerce,"1,782.11",166.0,"6,945,000","369,000",17.0,2,2017
60,61,Matt Sleeps,No,No,The Netherlands,Interiors,"1,729.53",163.5,"9,789,240","535,070",6.0,2,2016
61,62,Tessian,No,No,UK,Technology,"1,702.70",162.21,"15,365,580","858,482",138.0,28,2013
62,63,Solarisbank,No,No,Germany,Financial Services,"1,690.63",161.62,"35,938,000","2,007,000",369.0,98,2016
63,64,M2DG (MyFlexoffice),No,No,France,Support Services,"1,666.64",160.45,"6,630,617","375,323",21.0,2,2016
64,65,Eukon,No,No,Italy,Health,"1,664.65",160.35,"6,393,680","362,320",11.0,2,2004
65,66,Evolution Adv,No,No,Italy,Advertising,"1,659.07",160.07,"14,175,780","805,870",13.0,3,2016
66,67,Making Science,Yes,Yes,Spain,Technology,"1,644.00",159.33,"57,670,541","3,306,795",274.0,47,2001
67,68,Everli,Yes,Yes,Italy,Ecommerce,"1,637.55",159.01,"109,248,030","6,287,460",207.0,45,2014
68,69,AppFollow,No,No,Finland,Technology,"1,624.69",158.37,"2,210,636","128,176",73.0,12,2014
69,70,Synerise,No,No,Poland,Technology,"1,613.70",157.82,"3,999,023","255,062",190.0,40,2013
70,71,ChaiKola,No,No,Poland,Food & Beverage,"1,604.74",157.37,"5,158,786","330,763",8.0,4,2010
71,72,Scolution,No,No,Germany,Technology,"1,598.31",157.04,"1,825,546","107,492",12.0,4,2015
72,73,JL&P,No,No,France,Energy,"1,586.90",156.47,"2,212,606","131,164",15.0,3,2017
73,74,eFarma.com,No,No,Italy,Pharmaceuticals,"1,579.82",156.11,"20,150,800","1,199,580",50.0,8,2017
74,75,Elvie,Yes,Yes,UK,Technology,"1,561.33",155.16,"40,813,930","2,474,341",138.0,22,2013
75,76,Farmarelax,No,No,Italy,Personal & Household Goods,"1,546.97",154.43,"4,459,170","270,750",5.0,1,2010
76,77,Omnisend,Yes,No,UK,Technology,"1,494.85",151.71,"11,761,268","742,746",99.0,20,2008
77,78,World Trade Group,No,No,Italy,Fashion,"1,459.11",149.82,"4,897,950","314,150",5.0,1,2017
78,79,BESTEAM Conseil,No,No,France,Technology,"1,453.83",149.54,"3,871,782","249,176",32.0,2,2016
79,80,Motorway,No,No,UK,Automobiles,"1,420.90",147.76,"4,838,407","320,411",96.0,5,2016
80,81,ISO Public Services,No,No,Germany,Technology,"1,389.24",146.03,"10,019,903","672,821",26.0,0,2014
81,82,Octopus Energy,Yes,No,UK,Energy,"1,368.58",144.89,"2,120,071,949","145,398,192",918.0,106,2015
82,83,CyberIAM*,No,No,UK,Cyber Security,"1,367.04",144.8,"5,639,335","387,161",82.0,8,2017
83,84,Cbweed*,No,No,Italy,Personal & Household Goods,"1,328.57",142.64,"3,500,000","245,000",17.0,2,2017
84,85,Catraport,No,No,Portugal,Automobiles,"1,306.55",141.39,"7,294,549","518,613",46.0,18,2015
85,86,OUIHELP,No,No,France,Support Services,"1,304.85",141.29,"3,686,617","262,421",106.0,13,2016
86,87,Inpay,Yes,No,Denmark,Fintech,"1,298.53",140.93,"23,803,000","1,702,000",67.0,33,2013
87,88,M.G.I. Meccaniche Generali Irpine,No,No,Italy,Industrial Goods,"1,283.67",140.07,"2,610,700","188,680",10.0,4,2017
88,89,Glencar Construction,Yes,No,UK,Construction,"1,269.90",139.27,"107,860,442","7,930,094",80.0,7,2016
89,90,Qmee,Yes,No,UK,Technology,"1,268.04",139.17,"12,571,314","925,527",23.0,9,2010
90,91,MyAppFree,No,No,Italy,Advertising,"1,264.72",138.97,"5,764,870","422,420",10.0,1,2015
91,92,Investa Dienstleistungen,No,No,Germany,Support Services,"1,262.58",138.85,"2,176,136","159,707",55.0,8,2014
92,93,Polarium Energy Solutions,Yes,No,Sweden,Batteries,"1,257.04",138.52,"74,065,413","5,581,858",58.0,19,2014
93,94,Baroni Home,No,No,Italy,Ecommerce,"1,254.32",138.36,"1,531,358","113,072",5.0,4,2016
94,95,Dayshape,No,No,UK,Technology,"1,251.43",138.19,"3,320,479","247,465",45.0,6,2013
95,96,Marketers Company,No,No,Italy,Advertising,"1,249.94",138.11,"1,880,460","139,300",8.0,3,2016
96,97,Easo Magno,No,No,Spain,Beauty,"1,242.47",137.67,"3,061,854","228,076",5.0,2,2017
97,98,Greyfood,No,No,Germany,Retail,"1,241.42",137.6,"9,187,050","684,874",10.0,1,2016
98,99,Misfits Health,No,No,UK,Food & Beverage,"1,234.31",137.18,"2,266,155","171,057",9.0,3,2016
99,100,MeilleursBiens.com,No,No,France,Property,"1,225.70",136.67,"3,864,176","291,481",5.0,1,2010
100,101,Fasanara Capital,No,No,UK,Financial Services,"1,216.25",136.11,"11,527,860","882,099",36.0,5,2011
101,102,NtechLab,No,No,Cyprus,Technology,"1,214.76",136.02,"8,730,000","664,000",122.0,44,2015
102,103,Babylino Sensitive,No,No,Italy,Personal & Household Goods,"1,211.43",135.82,"2,851,840","217,460",5.0,2,2016
103,104,Fastned,Yes,No,The Netherlands,Technology,"1,198.37",135.03,"6,890,000","530,667",54.0,24,2012
104,105,Oxray,No,No,Portugal,Health,"1,179.02",133.86,"5,465,756","427,339",6.0,2,2009
105,106,ZEGA Invest,No,No,Germany,Property,"1,163.47",132.91,"3,785,340","299,598",4.0,3,2017
106,107,Abylon Consulting,No,No,Hungary,Technology,"1,156.25",132.47,"1,721,315","159,128",7.0,2,2016
107,108,Milrab,No,No,Norway,Ecommerce,"1,151.36",132.16,"79,302,201","6,753,191",77.0,20,2005
108,109,Urbantz,No,No,Belgium,Technology,"1,150.62",132.12,"3,031,099","242,368",55.0,7,2015
