,ipo year,number of employees,country,ceo,founded_year,market_cap,name
0,1980.0,"154,000",USA,Tim Cook,1976.0,"2,825.00 Billion USD",APPLE
1,1986.0,"220,000",USA,Satya Nadella,1975.0,"2,358.00 Billion USD",MICROSOFT CORPORATION
2,,"79,800",Saudi Arabia,Amin H. Al-Nasser,1933.0,"1,889.60 Billion USD",SAUDI ARABIAN OIL COMPANY (Saudi Aramco)
3,2004.0,"156,500",USA,Sundar Pichai,2015.0,"1,820.00 Billion USD",ALPHABET
4,1997.0,"1,335,000",USA,Andy Jassy,1994.0,"1,649.00 Billion USD",AMAZON.COM
5,2010.0,"99,290",USA,Elon Musk,2003.0,"1,031.00 Billion USD",TESLA
6,2012.0,"77,805",USA,Mark Zuckerberg,2004.0,922.96 Billion USD,META PLATFORMS
7,,"372,000",USA,Warren Buffett,1839.0,711.75 Billion USD,BERKSHIRE HATHAWAY
8,1999.0,"18,975",USA,Jensen Huang,1993.0,679.00 Billion USD,NVIDIA CORPORATION
9,,"65,152",Taiwan,C. C. Wei,1987.0,640.48 Billion USD,TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY (TSMC)
10,,"112,771",China,Ma Huateng,1998.0,545.36 Billion USD,TENCENT
11,,"271,025",USA,Jamie Dimon,2000.0,494.00 Billion USD,J P MORGAN CHASE & CO
12,,"21,500",USA,Alfred F Kelly Jr,1958.0,471.63 Billion USD,VISA
13,,"141,700",USA,Joaquin Duato,1886.0,457.94 Billion USD,JOHNSON & JOHNSON
14,,"113,753",South Korea,"Kim Hyun Suk
Koh Dong-Jin
Kim Ki Nam",1969.0,438.84 Billion USD,SAMSUNG ELECTRONICS
15,,"350,000",USA,Andrew Witty,1977.0,431.93 Billion USD,UNITEDHEALTH GROUP
16,,"500,000",USA,Craig Menear,1978.0,411.02 Billion USD,HOME DEPOT
17,,"150,000",France,Bernard Arnault,1987.0,409.48 Billion USD,LVMH
18,,"208,000",USA,Brian Moynihan,1998.0,402.49 Billion USD,BANK OF AMERICA CORPORATION
19,,"2,300,000",USA,Doug McMillon,1962.0,401.91 Billion USD,WALMART
20,,"101,000",USA,Jon R. Moeller,1837.0,393.82 Billion USD,PROCTER & GAMBLE COMPANY
21,,"29,031",China,Li Bao Fang,1999.0,382.35 Billion USD,KWEICHOW MOUTAI
22,,"276,000",Switzerland,Ulf Mark Schneider,1866.0,372.72 Billion USD,NESTLE AG
23,2006.0,"24,000",USA,Michael Miebach,1966.0,363.20 Billion USD,MASTERCARD
24,,"100,920",Switzerland,Severin Schwan,1896.0,356.15 Billion USD,ROCHE HOLDING AG
25,2014.0,"251,462",China,Daniel Zhang,1999.0,351.90 Billion USD,ALIBABA GROUP HOLDING
26,,"78,500",USA,Albert Bourla,1849.0,312.75 Billion USD,PFIZER
27,1995.0,"28,000",Netherlands,Peter Wennink,1984.0,307.33 Billion USD,ASML HOLDING
28,,"64,000",USA,Darren Woods,1999.0,291.61 Billion USD,EXXON MOBIL CORPORATION
29,,"190,000",USA,Bob Chapek,1923.0,286.88 Billion USD,THE WALT DISNEY COMPANY
30,,"366,283",Japan,Akio Toyoda,1937.0,276.74 Billion USD,TOYOTA MOTOR CORPORATION
31,,"80,300",USA,James Quincey,1892.0,260.59 Billion USD,COCA-COLA COMPANY
32,1990.0,"79,500",USA,Chuck Robbins,1984.0,257.82 Billion USD,CISCO SYSTEMS
33,2009.0,"20,000",USA,Hock E. Tan,1991.0,255.63 Billion USD,BROADCOM
34,,"23,874",Netherlands,Bob van Dijk,1997.0,254.55 Billion USD,PROSUS
35,,"434,798",China,Nicolas Jimenez,1984.0,252.55 Billion USD,ICBC
36,,"85,392",France,Jean Paul Agon,1909.0,249.14 Billion USD,L'OREAL
37,,"73,300",USA,John Donahoe,1964.0,248.46 Billion USD,NIKE
38,,"35,000",USA,David A. Ricks,1876.0,248.24 Billion USD,ELI LILLY AND COMPANY
39,1986.0,"25,988",USA,Shantanu Narayen,1982.0,242.99 Billion USD,ADOBE
40,,"42,595",USA,Michael Wirth,1879.0,241.02 Billion USD,CHEVRON CORPORATION
41,,"309,000",USA,Ramon Laguarta,1898.0,240.69 Billion USD,PEPSICO
42,,"113,000",USA,Robert Ford,1888.0,239.71 Billion USD,ABBOTT LABORATORIES
43,2002.0,"12,135",USA,"Ted Sarandos
Reed Hastings",1997.0,239.66 Billion USD,NETFLIX
44,,"750,000",India,,,,TATA GROUP
45,,"130,000",USA,Marc N. Casper,2006.0,239.22 Billion USD,THERMO FISHER SCIENTIFIC
46,2012.0,"50,000",USA,Richard A. Gonzalez,2013.0,238.45 Billion USD,ABBVIE
47,,"288,000",USA,W. Craig Jelinek,1983.0,237.76 Billion USD,COSTCO WHOLESALE CORPORATION
48,2001.0,"699,000",Ireland,Julie Sweet,1989.0,234.50 Billion USD,ACCENTURE
49,1986.0,"132,000",USA,Safra A. Catz,1977.0,233.69 Billion USD,ORACLE CORPORATION
50,,"45,971",Denmark,Lars Fruergaard Jorgensen,1923.0,231.35 Billion USD,NOVO NORDISK A/S
51,,"189,000",USA,Brian L. Roberts,1963.0,228.67 Billion USD,COMCAST CORPORATION
52,,"118,400",USA,Hans Vestberg,1983.0,227.69 Billion USD,VERIZON COMMUNICATIONS
53,2004.0,"56,606",USA,Marc Benioff,1999.0,224.88 Billion USD,SALESFORCE.COM
54,,"236,330",India,Mukesh Ambani,1973.0,220.76 Billion USD,RELIANCE INDUSTRIES
55,,"30,900",USA,Daniel Schulman,1998.0,220.42 Billion USD,PAYPAL HOLDINGS
56,,"253,871",USA,Charles W. Scharf,1852.0,218.38 Billion USD,WELLS FARGO & COMPANY
57,,"121,100",USA,Patrick P. Gelsinger,1968.0,217.34 Billion USD,INTEL CORPORATION
58,,"78,000",USA,Rainer M. Blair,1969.0,211.28 Billion USD,DANAHER CORPORATION
59,,"68,000",USA,Robert M. Davis,1970.0,202.83 Billion USD,MERCK & CO
60,1991.0,"45,000",USA,Cristiano R. Aman,1985.0,202.06 Billion USD,QUALCOMM
61,,"104,323",Switzerland,Vasant Narasimhan,1996.0,201.26 Billion USD,NOVARTIS AG
62,,"90,867",China,Huiyu Tian,1987.0,199.86 Billion USD,CHINA MERCHANTS BANK
63,,"200,000",USA,Chris Kempczinski,1940.0,199.56 Billion USD,MCDONALD'S CORPORATION
64,,"33,078",China,Zeng Yuqun,2011.0,197.13 Billion USD,CONTEMPORARY AMPEREX TECHNOLOGY
65,,"606,331",India,Rajesh Gopinathan,1968.0,193.87 Billion USD,TATA CONSULTANCY SERVICES (TCS)
66,1999.0,"534,000",USA,Carol B. Tome,1907.0,189.61 Billion USD,UNITED PARCEL SERVICE (UPS)
67,,"203,000",USA,John T. Stankey,1983.0,187.74 Billion USD,AT&T
68,,"68,097",USA,James P. Gorman,1931.0,186.71 Billion USD,MORGAN STANLEY
69,,"349,671",China,,1954.0,182.17 Billion USD,CHINA CONSTRUCTION BANK CORPORATION
70,,"86,000",Netherlands,Ben van Beurden,1907.0,181.56 Billion USD,ROYAL DUTCH SHELL
71,,"83,100",UK,Pascal Soriot,1999.0,178.12 Billion USD,ASTRAZENECA
72,,"32,000",USA,Walter W Bettinger II,1971.0,173.44 Billion USD,THE CHARLES SCHWAB CORPORATION
73,,"15,417",France,Axel Dumas,1837.0,172.04 Billion USD,HERMES INTERNATIONAL
74,,"74,207",UK,Sanjiv Lamba,1879.0,171.94 Billion USD,LINDE AG
75,,"9,700",USA,James L Robo,1984.0,169.55 Billion USD,NEXTERA ENERGY
76,,"220,000",USA,Marvin Ellison,1921.0,169.17 Billion USD,LOWE'S COMPANIES
77,,"31,000",USA,Richard K. Templeton,1951.0,165.72 Billion USD,TEXAS INSTRUMENTS
78,,"32,124",USA,Lance M. Fritz,1862.0,163.79 Billion USD,UNION PACIFIC CORPORATION
79,,"80,000",Australia,Mike Henry,1885.0,162.91 Billion USD,BHP GROUP
80,,"107,415",Germany,Christian Klein,1972.0,162.54 Billion USD,SAP SE
81,,"459,000",China,,1979.0,160.76 Billion USD,AGRICULTURAL BANK OF CHINA
82,1993.0,"13,500",USA,Sasan K. Goodarzi,1983.0,160.71 Billion USD,INTUIT
83,,"58,390",China,Wang Xing,2010.0,160.51 Billion USD,MEITUAN DIANPING
84,,"85,301",Canada,David I. McKay,1864.0,159.75 Billion USD,ROYAL BANK OF CANADA
85,,"15,500",USA,Lisa Su,1969.0,159.41 Billion USD,ADVANCED MICRO DEVICES (AMD)
86,,"109,700",Japan,Kenichiro Yoshida,1946.0,156.01 Billion USD,SONY CORPORATION
87,,"69,900",USA,Jacek Olczak,1847.0,154.34 Billion USD,PHILIP MORRIS INTERNATIONAL
88,,"362,000",China,Ma Mingzhe,1988.0,150.12 Billion USD,PING AN INSURANCE (GROUP) COMPANY OF CHINA
89,,"99,000",USA,Darius Adamczyk,1906.0,148.53 Billion USD,HONEYWELL INTERNATIONAL
90,,"89,464",Canada,Bharat Masrani,1955.0,144.32 Billion USD,TORONTO-DOMINION BANK
91,,"476,223",China,Wang Dongjin,1999.0,143.70 Billion USD,PETROCHINA COMPANY
92,,"128,339",France,Pietro Beccari,1946.0,143.38 Billion USD,CHRISTIAN DIOR
93,2015.0,"7,000",Canada,Tobias Lutke,2004.0,143.34 Billion USD,SHOPIFY
94,,"8,380",Japan,Yu Nakata,1974.0,142.42 Billion USD,KEYENCE CORPORATION
95,,"90,000",Ireland,Geoffrey S. Martha,1949.0,141.39 Billion USD,MEDTRONIC
96,,"32,200",USA,Giovanni Caforio,1887.0,139.46 Billion USD,BRISTOL-MYERS SQUIBB COMPANY
97,,"303,000",Germany,Roland Busch,1847.0,138.71 Billion USD,SIEMENS
98,,"105,476",France,Patrick Pouyanne,1924.0,138.01 Billion USD,TOTALENERGIES SE
99,,"295,000",USA,Karen S. Lynch,1996.0,137.54 Billion USD,CVS HEALTH CORPORATION
100,,"149,000",Netherlands,Alan Jope,1929.0,137.22 Billion USD,UNILEVER GROUP
101,,"75,000",USA,Mike Sievert,1994.0,137.07 Billion USD,T-MOBILE US
102,,"306,322",China,Gao Yingxin,1912.0,135.64 Billion USD,BANK OF CHINA
103,1999.0,"16,500",USA,Larry Fink,1988.0,135.55 Billion USD,BLACKROCK
104,,"500,000",Germany,,,,SCHWARZ GROUP
105,,"174,000",USA,Gregory Hayes,1934.0,135.37 Billion USD,RAYTHEON TECHNOLOGIES CORPORATION
106,,"64,000",USA,Stephen Squeri,1850.0,135.07 Billion USD,AMERICAN EXPRESS COMPANY
107,,"662,575",Germany,Herbert Diess,1937.0,134.25 Billion USD,VOLKSWAGEN
108,1972.0,"27,000",USA,Gary E. Dickerson,1967.0,134.00 Billion USD,APPLIED MATERIALS
109,,"223,448",UK,Noel Quinn,1865.0,132.94 Billion USD,HSBC HOLDINGS
110,1999.0,"43,900",USA,David M. Solomon,1869.0,132.60 Billion USD,THE GOLDMAN SACHS GROUP
111,,"26,348",China,Chen Lin,1998.0,132.39 Billion USD,WULIANGYE YIBIN
112,,"223,400",USA,Jane Fraser,1998.0,130.53 Billion USD,CITI GROUP
113,,"454,332",China,Li Yue,1997.0,130.51 Billion USD,CHINA MOBILE
114,1983.0,"24,200",USA,Robert A. Bradway,1980.0,128.03 Billion USD,AMGEN
115,,,USA,Susan Wojcicki,2005.0,,YOUTUBE
116,1995.0,"62,000",USA,Fabrizio Freda,1946.0,127.76 Billion USD,ESTEE LAUDER COMPANIES
117,,"141,014",USA,Dave Calhoun,1916.0,126.65 Billion USD,BOEING COMPANY
118,,"95,442",France,Paul Hudson,1973.0,126.37 Billion USD,SANOFI
119,1992.0,"383,000",USA,Laxman Narasimhan,1971.0,126.20 Billion USD,STARBUCKS CORPORATION
120,,"49,245",Australia,Matt Comyn,1911.0,125.77 Billion USD,COMMONWEALTH BANK OF AUSTRALIA
121,,"23,000",Hong Kong,Lee Yuan Siong,1919.0,125.62 Billion USD,AIA GROUP
122,,"28,025",UK,Ivan Menezes,1997.0,123.29 Billion USD,DIAGEO
123,,"5,618",USA,Tom Bartlett,1995.0,121.40 Billion USD,AMERICAN TOWER CORPORATION (REIT)
124,,"107,700",USA,Jim Umpleby,1925.0,121.27 Billion USD,CATERPILLAR
125,,"375,300",USA,Arvind Krishna,1911.0,120.85 Billion USD,IBM
126,2002.0,"49,000",UK,Jakob Stausholm,1873.0,116.98 Billion USD,RIO TINTO GROUP
127,,"75,600",USA,John C. May,1837.0,116.40 Billion USD,DEERE & COMPANY
128,2000.0,"9,793",USA,Gary S Guthart,1995.0,115.85 Billion USD,INTUITIVE SURGICAL
129,,"161,027",India,Sashidhar Jagdishan,1994.0,114.33 Billion USD,HDFC BANK
130,,"2,053",USA,Hamid Moghadam,1983.0,113.66 Billion USD,PROLOGIS
131,2012.0,"16,881",USA,Bill McDermott,2003.0,112.71 Billion USD,SERVICENOW
132,,"168,000",USA,H. Lawrence Culp Jr,1892.0,111.35 Billion USD,GENERAL ELECTRIC COMPANY
133,,"409,000",USA,Brian Cornell,1902.0,110.57 Billion USD,TARGET CORPORATION
134,,"99,000",UK,Dame Emma Walmsley,2000.0,110.32 Billion USD,GLAXOSMITHKLINE
135,2003.0,"104,160",China,Dairen Lin,1949.0,109.77 Billion USD,CHINA LIFE INSURANCE COMPANY
136,,"164,000",Belgium,Michel Doukeris,2008.0,109.50 Billion USD,ANHEUSER-BUSCH INBEV
137,,"93,700",USA,Thomas M. Rutledge,1993.0,109.45 Billion USD,CHARTER COMMUNICATIONS
138,,"473,800",Russia,Alexey Miller,1989.0,108.15 Billion USD,GAZPROM
139,,"22,850",USA,Douglas L. Peterson,1917.0,107.67 Billion USD,S&P GLOBAL
140,,"166,025",France,Jean-Pascal Tricoire,1836.0,107.12 Billion USD,SCHNEIDER ELECTRIC
141,,"26,037",USA,,1979.0,,INGRAM MICRO
142,,"18,800",USA,,,,VANGUARD GROUP
143,,"10,100",USA,Ryan Lance,1875.0,106.36 Billion USD,CONOCOPHILLIPS COMPANY
144,2014.0,"314,906",China,Liu Qiangdong,1998.0,106.00 Billion USD,JD.COM
145,,"43,000",USA,Sanjay Mehrotra,1978.0,105.80 Billion USD,MICRON TECHNOLOGY
146,,"63,900",USA,Gail Koziara Boudreaux,2004.0,105.58 Billion USD,ANTHEM
147,2020.0,"6,132",USA,Brian Chesky,2008.0,105.51 Billion USD,AIRBNB
148,,"125,888",Netherlands,Guillaume Faury,1970.0,105.09 Billion USD,AIRBUS
149,,"122,000",USA,,,,KOCH INDUSTRIES
150,,"60,000",China,,2012.0,,BYTEDANCE
151,2017.0,"33,800",Singapore,Forrest Li,2009.0,104.35 Billion USD,SEA LIMITED
152,,"95,000",USA,Mike Roman,1902.0,103.70 Billion USD,3M COMPANY
153,,"150,269",Germany,Oliver Bate,1890.0,103.28 Billion USD,ALLIANZ SE
154,,"345,218",India,Salil Parekh,1981.0,102.72 Billion USD,INFOSYS
155,,"58,408",Germany,Belen Garijo,1668.0,102.50 Billion USD,MERCK KGAA O.N.
156,,"303,350",Japan,Jun Sawada,1952.0,101.57 Billion USD,NIPPON TELEGRAPH AND TELEPHONE CORPORATION
157,,"27,558",Japan,Motoyuki Ii,1991.0,101.26 Billion USD,NTT DOCOMO
158,,"38,553",France,Francois-Henri Pinault,1963.0,101.13 Billion USD,KERING
159,,"56,000",USA,Carlos A. Rodriguez,1961.0,100.64 Billion USD,AUTOMATIC DATA PROCESSING (ADP)
160,,"19,400",USA,Glenn D. Fogel,1996.0,99.97 Billion USD,BOOKING HOLDINGS
161,2013.0,"12,100",USA,JUAN RAMÓN ALAIX,1952.0,99.87 Billion USD,ZOETIS
162,,"43,000",USA,Kevin A. Lobo,1941.0,99.43 Billion USD,STRYKER CORPORATION
163,,"114,000",USA,James D. Taiclet,1995.0,99.32 Billion USD,LOCKHEED MARTIN CORPORATION
164,,"144,116",Spain,Pablo Isla,1985.0,98.66 Billion USD,INDITEX (INDUSTRIA DE DISENO TEXTIL)
165,,"183,000",USA,Jim Farley,1903.0,97.67 Billion USD,FORD MOTOR COMPANY
166,,"60,000",UK,Bernard Looney,1909.0,97.62 Billion USD,BP P.L.C.
