Unnamed: 0,Name,Symbol,MarketCap,Price,Country,name,codice,pricecap,price,country
0.0,Apple,AAPL,$2.278 T,$143.21,USA,Apple,AAPL,$2.143 T,$134.76,USA
1.0,Microsoft,MSFT,$1.917 T,$257.22,USA,Microsoft,MSFT,$1.783 T,$239.23,USA
2.0,Saudi Aramco,2222.SR,$1.810 T,$8.23,S. Arabia,Saudi Aramco,2222.SR,$1.878 T,$8.54,S. Arabia
3.0,Alphabet (Google),GOOG,$1.232 T,$95.31,USA,Alphabet (Google),GOOG,$1.195 T,$92.80,USA
4.0,Amazon,AMZN,$934.27 B,$91.58,USA,Amazon,AMZN,$1.000 T,$98.12,USA
5.0,Berkshire Hathaway ,BRK-B,$681.64 B,$309.29,USA,,,,,
6.0,UnitedHealth,UNH,$503.01 B,$538.36,USA,UnitedHealth,UNH,$457.42 B,$489.57,USA
7.0,Tesla,TSLA,$495.13 B,$156.80,USA,Tesla,TSLA,$386.50 B,$122.40,USA
8.0,Johnson & Johnson,JNJ,$469.97 B,$179.76,USA,Johnson & Johnson,JNJ,$453.42 B,$173.43,USA
9.0,Visa,V,$451.73 B,$213.32,USA,Visa,V,$472.35 B,$223.06,USA
10.0,NVIDIA,NVDA,$440.43 B,$176.74,USA,NVIDIA,NVDA,$421.12 B,$168.99,USA
11.0,Exxon Mobil,XOM,$438.43 B,$106.46,USA,Exxon Mobil,XOM,$465.98 B,$113.15,USA
12.0,TSMC,TSM,$414.99 B,$80.02,Taiwan,TSMC,TSM,$450.14 B,$86.80,Taiwan
13.0,Tencent,TCEHY,$399.25 B,$41.75,China,Tencent,TCEHY,$458.31 B,$47.80,China
14.0,Walmart,WMT,$395.53 B,$146.67,USA,Walmart,WMT,$391.81 B,$145.29,USA
15.0,JPMorgan Chase,JPM,$391.31 B,$133.41,USA,JPMorgan Chase,JPM,$419.47 B,$143.01,USA
16.0,LVMH,MC.PA,$379.86 B,$758.09,France,LVMH,MC.PA,$427.45 B,$853.07,France
17.0,Procter & Gamble,PG,$362.18 B,$152.84,USA,Procter & Gamble,PG,$357.54 B,$150.88,USA
18.0,Eli Lilly,LLY,$345.38 B,$363.50,USA,Eli Lilly,LLY,$343.60 B,$361.62,USA
19.0,Mastercard,MA,$343.73 B,$357.51,USA,Mastercard,MA,$361.04 B,$375.52,USA
20.0,Home Depot,HD,$339.82 B,$333.43,USA,Home Depot,HD,$337.56 B,$331.21,USA
21.0,Chevron,CVX,$333.22 B,$172.33,USA,Chevron,CVX,$343.33 B,$177.56,USA
22.0,Nestlé,NESN.SW,$328.43 B,$119.43,Switzerland,Nestlé,NESN.SW,$339.24 B,$123.36,Switzerland
23.0,Meta Platforms (Facebook),META,$322.40 B,$121.59,USA,Meta Platforms (Facebook),META,$359.18 B,$136.98,USA
24.0,Kweichow Moutai,600519.SS,$322.17 B,$256.46,China,Kweichow Moutai,600519.SS,$358.62 B,$285.49,China
25.0,Pfizer,PFE,$305.81 B,$54.48,USA,Pfizer,PFE,$268.59 B,$47.85,USA
26.0,Samsung,005930.KS,$304.53 B,$45.31,S. Korea,Samsung,005930.KS,$331.69 B,$49.38,S. Korea
27.0,Novo Nordisk,NVO,$303.18 B,$134.72,Denmark,Novo Nordisk,NVO,$306.65 B,$136.32,Denmark
28.0,AbbVie,ABBV,$291.55 B,$164.86,USA,AbbVie,ABBV,$271.63 B,$153.60,USA
29.0,Merck,MRK,$282.82 B,$111.55,USA,Merck,MRK,$284.59 B,$112.25,USA
30.0,Coca-Cola,KO,$276.72 B,$63.99,USA,Coca-Cola,KO,$265.65 B,$61.43,USA
31.0,Roche,ROG.SW,$271.06 B,$329.03,Switzerland,Roche,ROG.SW,$259.53 B,$315.84,Switzerland
32.0,Bank of America ,BAC,$258.96 B,$32.28,USA,,,,,
33.0,Pepsico,PEP,$252.61 B,$183.36,USA,Pepsico,PEP,$241.42 B,$175.24,USA
34.0,ASML,ASML,$248.27 B,$615.86,Netherlands,ASML,ASML,$265.94 B,$659.69,Netherlands
35.0,Alibaba,BABA,$240.68 B,$90.91,China,Alibaba,BABA,$310.68 B,$117.01,China
36.0,Broadcom,AVGO,$232.65 B,$574.44,USA,Broadcom,AVGO,$241.95 B,$579.00,USA
37.0,Thermo Fisher Scientific,TMO,$222.46 B,$567.23,USA,Thermo Fisher Scientific,TMO,$228.97 B,$583.84,USA
38.0,Oracle,ORCL,$220.60 B,$81.82,USA,Oracle,ORCL,$240.50 B,$89.20,USA
39.0,Astrazeneca,AZN,$218.29 B,$70.44,UK,,,,,
40.0,Costco,COST,$214.60 B,$483.52,USA,Costco,COST,$215.31 B,$485.25,USA
41.0,Reliance Industries,RELIANCE.NS,$212.05 B,$31.34,India,Reliance Industries,RELIANCE.NS,$203.52 B,$30.08,India
42.0,ICBC,1398.HK,$208.55 B,$0.49,China,ICBC,1398.HK,$221.13 B,$0.54,China
43.0,Cisco,CSCO,$202.52 B,$49.30,USA,Cisco,CSCO,$200.80 B,$48.88,USA
44.0,McDonald,MCD,$201.07 B,$274.53,USA,McDonald,MCD,$196.94 B,$268.89,USA
45.0,L'Oréal,OR.PA,$199.66 B,$372.34,France,L'Oréal,OR.PA,$219.77 B,$410.03,France
46.0,Danaher,DHR,$199.62 B,$274.23,USA,Danaher,DHR,$199.18 B,$273.62,USA
47.0,Shell,SHEL,$199.54 B,$56.76,UK,Shell,SHEL,$208.24 B,$59.61,UK
48.0,Novartis,NVS,$199.03 B,$92.53,Switzerland,Novartis,NVS,$195.87 B,$91.06,Switzerland
49.0,Toyota,TM,$197.36 B,$144.65,Japan,Toyota,TM,$191.42 B,$140.30,Japan
50.0,Abbott Laboratories,ABT,$193.98 B,$111.26,USA,Abbott Laboratories,ABT,$197.91 B,$113.51,USA
51.0,Accenture,ACN,$183.78 B,$291.45,Ireland,Accenture,ACN,$177.81 B,$282.14,Ireland
52.0,T-Mobile US,TMUS,$177.11 B,$142.36,USA,T-Mobile US,TMUS,$186.22 B,$149.68,USA
53.0,Nike,NKE,$174.37 B,$111.45,USA,Nike,NKE,$199.78 B,$128.85,USA
54.0,Nextera Energy,NEE,$172.98 B,$87.05,USA,Nextera Energy,NEE,$168.27 B,$84.68,USA
55.0,Walt Disney,DIS,$171.69 B,$94.15,USA,Walt Disney,DIS,$181.26 B,$99.40,USA
56.0,Hermès,RMS.PA,$170.61 B,"$1,632",France,Hermès,RMS.PA,$184.59 B,"$1,760",France
57.0,Linde,LIN,$168.46 B,$342.01,UK,Linde,LIN,$164.56 B,$334.11,UK
58.0,Bristol-Myers Squibb,BMY,$164.01 B,$77.14,USA,Bristol-Myers Squibb,BMY,$154.16 B,$72.51,USA
59.0,Wells Fargo,WFC,$160.72 B,$42.18,USA,Wells Fargo,WFC,$168.49 B,$44.22,USA
60.0,Texas Instruments,TXN,$159.56 B,$175.82,USA,Texas Instruments,TXN,$162.46 B,$179.01,USA
61.0,United Parcel Service,UPS,$159.41 B,$184.31,USA,United Parcel Service,UPS,$157.54 B,$182.15,USA
62.0,Philip Morris,PM,$158.83 B,$102.46,USA,Philip Morris,PM,$157.65 B,$101.70,USA
63.0,Adobe,ADBE,$158.02 B,$339.92,USA,Adobe,ADBE,$160.10 B,$344.38,USA
64.0,BHP Group,BHP,$157.92 B,$62.41,Australia,BHP Group,BHP,$175.31 B,$69.28,Australia
65.0,Verizon,VZ,$157.28 B,$37.45,USA,Verizon,VZ,$175.80 B,$41.86,USA
66.0,Morgan Stanley,MS,$152.95 B,$90.50,USA,Morgan Stanley,MS,$154.91 B,$91.66,USA
67.0,Comcast,CMCSA,$152.83 B,$35.35,USA,Comcast,CMCSA,$168.31 B,$38.93,USA
68.0,TotalEnergies,TTE,$151.30 B,$60.67,France,TotalEnergies,TTE,$160.03 B,$64.63,France
69.0,China Construction Bank,601939.SS,$150.61 B,$0.80,China,China Construction Bank,601939.SS,$164.36 B,$0.84,China
70.0,CATL,300750.SZ,$148.55 B,$60.82,China,CATL,300750.SZ,$162.80 B,$66.66,China
71.0,Raytheon Technologies,RTX,$146.93 B,$99.95,USA,Raytheon Technologies,RTX,$145.06 B,$98.68,USA
72.0,Tata Consultancy Services,TCS.NS,$146.67 B,$40.08,India,Tata Consultancy Services,TCS.NS,$150.14 B,$41.03,India
73.0,Amgen,AMGN,$144.66 B,$271.13,USA,Amgen,AMGN,$144.98 B,$271.73,USA
74.0,China Mobile,0941.HK,$144.38 B,$6.60,China,China Mobile,0941.HK,$154.54 B,$7.06,China
75.0,Honeywell,HON,$144.36 B,$214.72,USA,Honeywell,HON,$145.63 B,$216.61,USA
76.0,Charles Schwab,SCHW,$144.33 B,$77.32,USA,Charles Schwab,SCHW,$154.90 B,$82.98,USA
77.0,Agricultural Bank of China,601288.SS,$142.12 B,$0.41,China,Agricultural Bank of China,601288.SS,$149.59 B,$0.43,China
78.0,Netflix,NFLX,$141.44 B,$317.83,USA,Netflix,NFLX,$148.11 B,$332.82,USA
79.0,Meituan,3690.HK,$140.76 B,$22.74,China,Meituan,3690.HK,$131.24 B,$21.21,China
80.0,ConocoPhillips,COP,$140.64 B,$112.87,USA,ConocoPhillips,COP,$151.36 B,$121.47,USA
81.0,Prosus,PRX.AS,$139.46 B,$69.57,Netherlands,Prosus,PRX.AS,$163.46 B,$81.54,Netherlands
82.0,Dior,CDI.PA,$136.61 B,$757.24,France,Dior,CDI.PA,$151.16 B,$837.32,France
